generator_id,generator_name,snapshot_id,snapshot_order,snapshot_label_modom,time_block_group,forecast_mw,static_pmax_mw,forecast_pu,source_sheet
G3JCOCO1,JUANCHO LOS COCOS 1,h_17,17,17,canonical_hours_24h,7.496,25.0,0.29984,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_18,18,18,canonical_hours_24h,8.265,25.0,0.3306,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_19,19,19,canonical_hours_24h,8.37,25.0,0.3348,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_20,20,20,canonical_hours_24h,7.7765,25.0,0.31106,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_21,21,21,canonical_hours_24h,6.2010000000000005,25.0,0.24804,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_22,22,22,canonical_hours_24h,4.721500000000001,25.0,0.18886000000000003,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_23,23,23,canonical_hours_24h,4.5009999999999994,25.0,0.18003999999999998,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_24,24,24,canonical_hours_24h,5.015000000000001,25.0,0.20060000000000003,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_01,1,1,canonical_hours_24h,26.91073718,50.0,0.5382147436,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_02,2,2,canonical_hours_24h,27.40741186,50.0,0.5481482371999999,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_03,3,3,canonical_hours_24h,28.31045673,50.0,0.5662091346,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_04,4,4,canonical_hours_24h,28.987740385000002,50.0,0.5797548077000001,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_05,5,5,canonical_hours_24h,29.48441506,50.0,0.5896883012,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_06,6,6,canonical_hours_24h,27.633173075000002,50.0,0.5526634615,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_07,7,7,canonical_hours_24h,22.169751599999998,50.0,0.44339503199999997,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_08,8,8,canonical_hours_24h,18.196354165000002,50.0,0.36392708330000006,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_09,9,9,canonical_hours_24h,17.157852565,50.0,0.34315705129999996,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_10,10,10,canonical_hours_24h,18.557572115,50.0,0.37115144229999997,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_11,11,11,canonical_hours_24h,21.440865385000002,50.0,0.42881730770000004,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_12,12,12,canonical_hours_24h,24.59230769,50.0,0.49184615379999996,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_13,13,13,canonical_hours_24h,23.95165385,50.0,0.479033077,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_14,14,14,canonical_hours_24h,24.604884615,50.0,0.4920976923,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_15,15,15,canonical_hours_24h,24.241038465,50.0,0.48482076929999995,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_16,16,16,canonical_hours_24h,23.188423075,50.0,0.4637684615,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_17,17,17,canonical_hours_24h,22.06219231,50.0,0.4412438462,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_18,18,18,canonical_hours_24h,20.226461540000003,50.0,0.40452923080000003,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_19,19,19,canonical_hours_24h,17.590692305,50.0,0.3518138461,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_20,20,20,canonical_hours_24h,16.27280769,50.0,0.32545615380000004,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_21,21,21,canonical_hours_24h,16.291846155,50.0,0.3258369231,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_22,22,22,canonical_hours_24h,16.81646154,50.0,0.3363292308,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_23,23,23,canonical_hours_24h,17.980346155,50.0,0.3596069231,Pronostico Renovable
G3LCOCO2,LOS COCOS 2,h_24,24,24,canonical_hours_24h,19.411192305,50.0,0.3882238461,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_01,1,1,canonical_hours_24h,0.0,60.0,0.0,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_02,2,2,canonical_hours_24h,0.0,60.0,0.0,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_03,3,3,canonical_hours_24h,0.0,60.0,0.0,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_04,4,4,canonical_hours_24h,8.339575975,60.0,0.13899293291666667,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_05,5,5,canonical_hours_24h,35.94805299,60.0,0.5991342165,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_06,6,6,canonical_hours_24h,55.74045393,60.0,0.9290075655,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_07,7,7,canonical_hours_24h,59.47548551,60.0,0.9912580918333334,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_08,8,8,canonical_hours_24h,49.646926664999995,60.0,0.8274487777499999,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_09,9,9,canonical_hours_24h,25.52748542,60.0,0.42545809033333337,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_10,10,10,canonical_hours_24h,2.7288191045,60.0,0.04548031840833333,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_11,11,11,canonical_hours_24h,0.0,60.0,0.0,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_12,12,12,canonical_hours_24h,0.0,60.0,0.0,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_13,13,13,canonical_hours_24h,0.0,60.0,0.0,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_14,14,14,canonical_hours_24h,0.0,60.0,0.0,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_15,15,15,canonical_hours_24h,0.0,60.0,0.0,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_16,16,16,canonical_hours_24h,8.079386986,60.0,0.13465644976666666,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_17,17,17,canonical_hours_24h,34.514570934999995,60.0,0.5752428489166665,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_18,18,18,canonical_hours_24h,53.188283525,60.0,0.8864713920833334,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_19,19,19,canonical_hours_24h,57.957885035,60.0,0.9659647505833333,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_20,20,20,canonical_hours_24h,47.53413773,60.0,0.7922356288333333,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_21,21,21,canonical_hours_24h,24.91755456,60.0,0.41529257599999997,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_22,22,22,canonical_hours_24h,2.746105297,60.0,0.04576842161666667,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_23,23,23,canonical_hours_24h,0.0,60.0,0.0,Pronostico Renovable
G3MPSOLA,MONTE PLATA SOLAR,h_24,24,24,canonical_hours_24h,0.0,60.0,0.0,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_01,1,1,canonical_hours_24h,11.124500000000001,50.0,0.22249000000000002,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_02,2,2,canonical_hours_24h,7.0600000000000005,50.0,0.14120000000000002,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_03,3,3,canonical_hours_24h,8.3435,50.0,0.16687000000000002,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_04,4,4,canonical_hours_24h,9.385,50.0,0.1877,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_05,5,5,canonical_hours_24h,6.0525,50.0,0.12105,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_06,6,6,canonical_hours_24h,8.41,50.0,0.16820000000000002,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_07,7,7,canonical_hours_24h,12.795,50.0,0.2559,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_08,8,8,canonical_hours_24h,11.1425,50.0,0.22285,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_09,9,9,canonical_hours_24h,10.6075,50.0,0.21215,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_10,10,10,canonical_hours_24h,12.1765,50.0,0.24353000000000002,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_11,11,11,canonical_hours_24h,13.711,50.0,0.27422,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_12,12,12,canonical_hours_24h,14.953,50.0,0.29906,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_13,13,13,canonical_hours_24h,14.2195,50.0,0.28439,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_14,14,14,canonical_hours_24h,11.5465,50.0,0.23093,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_15,15,15,canonical_hours_24h,10.118,50.0,0.20236,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_16,16,16,canonical_hours_24h,10.55,50.0,0.21100000000000002,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_17,17,17,canonical_hours_24h,11.637,50.0,0.23274,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_18,18,18,canonical_hours_24h,12.644,50.0,0.25288,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_19,19,19,canonical_hours_24h,14.6375,50.0,0.29275,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_20,20,20,canonical_hours_24h,19.79,50.0,0.3958,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_21,21,21,canonical_hours_24h,25.500999999999998,50.0,0.5100199999999999,Pronostico Renovable
G3PEACLA,PARQUE EÓLICO AGUA CLARA,h_22,22,22,canonical_hours_24h,27.9135,50.0,0.5582699999999999,Pronostico Renovable
